"filename", "language", "Go", "Go Template File", "comment", "blank", "total"
"/Users/adebert/h/too/pkg/too/output/engine.go", "Go", 109, 0, 20, 22, 151
"/Users/adebert/h/too/pkg/too/output/engine_test.go", "Go", 80, 0, 5, 15, 100
"/Users/adebert/h/too/pkg/too/output/hierarchy.go", "Go", 11, 0, 3, 4, 18
"/Users/adebert/h/too/pkg/too/output/init.go", "Go", 40, 0, 2, 5, 47
"/Users/adebert/h/too/pkg/too/output/output.go", "Go", 69, 0, 10, 19, 98
"/Users/adebert/h/too/pkg/too/output/output_test.go", "Go", 107, 0, 3, 16, 126
"/Users/adebert/h/too/pkg/too/output/renderer_change_test.go", "Go", 171, 0, 11, 18, 200
"/Users/adebert/h/too/pkg/too/output/styles.go", "Go", 103, 0, 21, 28, 152
"/Users/adebert/h/too/pkg/too/output/templates/formats_result.tmpl", "Go Template File", 0, 3, 0, 2, 5
"/Users/adebert/h/too/pkg/too/output/templates/message.tmpl", "Go Template File", 0, 5, 0, 0, 5
"/Users/adebert/h/too/pkg/too/output/templates/todo_item.tmpl", "Go Template File", 0, 1, 0, 0, 1
"/Users/adebert/h/too/pkg/too/output/templates/todo_list_with_message.tmpl", "Go Template File", 0, 51, 0, 2, 53
"/Users/adebert/h/too/pkg/too/output/to_markdown.go", "Go", 67, 0, 10, 19, 96
"/Users/adebert/h/too/pkg/too/output/todo_list_with_message.go", "Go", 10, 0, 1, 2, 13
"Total", "-", 767, 60, 86, 152, 1065